participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean,head_rotation_rad_vel_min,head_rotation_rad_vel_max,head_rotation_rad_vel_rms,head_rotation_rad_vel_mean,head_rotation_rad_acc_min,head_rotation_rad_acc_max,head_rotation_rad_acc_rms,head_rotation_rad_acc_mean,blink_aperture_vel_min,blink_aperture_vel_max,blink_aperture_vel_rms,blink_aperture_vel_mean,blink_aperture_acc_min,blink_aperture_acc_max,blink_aperture_acc_rms,blink_aperture_acc_mean,mouth_aperture_vel_min,mouth_aperture_vel_max,mouth_aperture_vel_rms,mouth_aperture_vel_mean,mouth_aperture_acc_min,mouth_aperture_acc_max,mouth_aperture_acc_rms,mouth_aperture_acc_mean,pupil_dx_vel_min,pupil_dx_vel_max,pupil_dx_vel_rms,pupil_dx_vel_mean,pupil_dx_acc_min,pupil_dx_acc_max,pupil_dx_acc_rms,pupil_dx_acc_mean,pupil_dy_vel_min,pupil_dy_vel_max,pupil_dy_vel_rms,pupil_dy_vel_mean,pupil_dy_acc_min,pupil_dy_acc_max,pupil_dy_acc_rms,pupil_dy_acc_mean,pupil_metric_vel_min,pupil_metric_vel_max,pupil_metric_vel_rms,pupil_metric_vel_mean,pupil_metric_acc_min,pupil_metric_acc_max,pupil_metric_acc_rms,pupil_metric_acc_mean,center_face_magnitude_vel_min,center_face_magnitude_vel_max,center_face_magnitude_vel_rms,center_face_magnitude_vel_mean,center_face_magnitude_acc_min,center_face_magnitude_acc_max,center_face_magnitude_acc_rms,center_face_magnitude_acc_mean,center_face_x_vel_min,center_face_x_vel_max,center_face_x_vel_rms,center_face_x_vel_mean,center_face_x_acc_min,center_face_x_acc_max,center_face_x_acc_rms,center_face_x_acc_mean,center_face_y_vel_min,center_face_y_vel_max,center_face_y_vel_rms,center_face_y_vel_mean,center_face_y_acc_min,center_face_y_acc_max,center_face_y_acc_rms,center_face_y_acc_mean
402,H,0,-0.704225994,0.305025108,0.109474235,-0.021289319,0.017121033,0.24142987,0.182497737,0.178613722,1.71E-09,0.24857821,0.033750456,0.011968296,-0.052490574,0.035025131,0.008349936,-0.003402529,-0.079212484,0.015015496,0.028341792,-0.025782958,0.015285001,0.108093933,0.050038373,0.048937201,0.021529779,0.766159266,0.191543632,0.155122081,0.002590329,0.48917991,0.118955117,0.090313908,0.005754762,0.760294639,0.150128755,0.110417686,-1.875502793,1.97627006,0.140052843,-0.000413168,-0.857263141,1.254730404,0.075375242,0.000170478,-0.029794002,0.027200166,0.004556168,2.54E-05,-0.015799442,0.013445175,0.00225836,4.31E-06,-0.044358648,0.061212717,0.006084269,-8.51E-06,-0.024577678,0.030519652,0.00293799,-4.28E-06,-0.019313901,0.020814744,0.002106761,1.49E-06,-0.012617099,0.0126802,0.001272153,-1.10E-06,-0.020388806,0.026794319,0.003048331,1.97E-06,-0.010315349,0.017708546,0.001794058,-5.79E-06,-0.029517721,0.024788772,0.002801407,2.39E-07,-0.022199015,0.019300527,0.00180325,4.80E-06,-0.044796882,0.056131586,0.006414873,-0.000104078,-0.017824601,0.018405081,0.001833083,-3.22E-07,-0.034225012,0.03208472,0.004294332,-9.03E-06,-0.007183465,0.02264707,0.00107776,1.42E-06,-0.044233815,0.05655331,0.006503818,-0.000103715,-0.017821039,0.020098989,0.002077206,-2.38E-06
402,H,1,-0.832915953,0.305025108,0.189114566,-0.052312907,0.061113585,0.235216321,0.176392475,0.172989404,5.03E-07,0.24857821,0.041749953,0.017844018,-0.052490574,0.035025131,0.007886821,-0.002667065,-0.077137532,0.016016069,0.028623632,-0.025980078,0.015285001,0.102334912,0.049361242,0.04839384,0.021529779,0.381566456,0.166692203,0.1457646,0.002590329,0.356743714,0.117092476,0.095290185,0.009041917,0.316837548,0.118640813,0.096482672,-2.015711886,1.97627006,0.162828262,0.000241093,-0.845938917,1.258908889,0.090519541,0.000143632,-0.024934157,0.031489166,0.004189851,4.77E-06,-0.015799442,0.0136849,0.002226609,2.95E-06,-0.04588794,0.061212717,0.007370001,-2.98E-06,-0.030593345,0.030519652,0.003586284,-4.57E-06,-0.019313901,0.020814744,0.002037629,4.01E-06,-0.012617099,0.0126802,0.001241902,-2.20E-06,-0.020388806,0.026794319,0.003010127,4.93E-06,-0.010775422,0.017708546,0.001740264,-4.11E-06,-0.029517721,0.024788772,0.002730457,-4.67E-06,-0.022199015,0.019300527,0.0017532,4.21E-06,-0.020798054,0.029684885,0.004311913,-3.75E-05,-0.009607814,0.009219088,0.001338839,-1.20E-06,-0.01929221,0.018071007,0.003271895,-4.17E-06,-0.003598176,0.006484412,0.000870936,-7.15E-07,-0.025870646,0.0299749,0.004439847,-4.75E-05,-0.009765949,0.017800284,0.001689352,-1.24E-06
402,H,2,-0.832915953,0.429543531,0.205961329,-0.092843577,0.061113585,0.26009963,0.181140333,0.177954593,2.72E-06,0.244679148,0.035279479,0.014655267,-0.026368625,0.021935238,0.006915808,-0.003530378,-0.094269182,0.016016069,0.029887883,-0.027447213,0.016368817,0.118937721,0.050928855,0.050109787,0.008787942,0.424068672,0.154565591,0.130250658,0.002847316,0.351579504,0.116446447,0.095416111,0.008313887,0.27448342,0.101640281,0.076931536,-3.146389041,5.453871199,0.214299476,0.000270343,-2.929751258,2.363445944,0.126795878,-0.000142102,-0.032881281,0.031489166,0.003875062,4.65E-06,-0.021111409,0.015859396,0.002060967,-5.58E-07,-0.04588794,0.057576723,0.005585016,-1.30E-07,-0.030593345,0.020113186,0.002745581,-4.47E-08,-0.009856808,0.01063541,0.0015147,-2.89E-06,-0.007046294,0.005352547,0.000895655,-6.50E-07,-0.022987346,0.019797799,0.00249418,-6.68E-06,-0.010775422,0.015593257,0.001440586,3.43E-08,-0.020878334,0.016186139,0.002065005,6.68E-06,-0.013479804,0.008741199,0.001210257,-9.45E-07,-0.018797942,0.031458132,0.003689471,-4.87E-06,-0.009607814,0.010112283,0.001143019,2.56E-07,-0.013665628,0.012784696,0.002831347,-3.38E-06,-0.003232872,0.006206314,0.000740506,-1.15E-06,-0.025870646,0.02964315,0.003966817,-2.83E-06,-0.009765949,0.022151816,0.001524742,7.14E-07
402,L,0,-0.497086155,0.383412225,0.099933528,-0.028633067,0.012882901,0.269642395,0.188159276,0.184300659,8.74E-09,0.028784099,0.005253926,0.003396231,-0.066839651,0.04702973,0.008714514,-0.005209024,-0.111707184,0.013561504,0.028311404,-0.025404843,0.016823994,0.156322435,0.050790956,0.049516718,0.015137653,1.17411641,0.197504196,0.117269324,0.003486113,0.353887428,0.081986289,0.055462791,0.00954769,1.123250104,0.179683488,0.094842887,-1.932506787,1.589999911,0.10447723,4.57E-05,-1.257391519,0.755719346,0.055951902,2.80E-05,-0.025156151,0.028617324,0.00440599,-7.96E-06,-0.012016324,0.010611332,0.002250495,2.17E-06,-0.008460677,0.007622011,0.001575613,3.19E-06,-0.005927258,0.005847678,0.001106107,-4.89E-07,-0.027015215,0.018448708,0.001756912,-3.47E-06,-0.013025607,0.01404943,0.000985854,1.31E-06,-0.033946022,0.020942553,0.003127983,1.07E-05,-0.015553943,0.017287117,0.001784567,-2.23E-06,-0.028373346,0.043963417,0.002902307,-1.20E-05,-0.023351555,0.020057084,0.001672494,2.65E-06,-0.042922813,0.06861852,0.005660261,-4.15E-05,-0.01756785,0.021525641,0.001540773,1.71E-06,-0.025362792,0.027132905,0.003336095,-1.88E-05,-0.006530269,0.013125965,0.000939327,9.19E-07,-0.04721301,0.069668539,0.00554984,-3.64E-05,-0.017633681,0.027340653,0.001672685,2.79E-07
402,L,1,-0.497086155,0.185005161,0.099273822,-0.051573201,0.053056002,0.243507424,0.18410879,0.181792202,8.74E-09,0.195609876,0.020920131,0.006707479,-0.025921582,0.04702973,0.009744802,-0.007161958,-0.111707184,0.010301062,0.029543279,-0.027353941,0.021034492,0.141436387,0.052449863,0.051538487,0.010631245,0.369304569,0.118208632,0.098408758,0.002955913,0.289144619,0.07546472,0.054992162,0.008508975,0.291267866,0.090985475,0.073017011,-0.671610817,0.635763766,0.079255568,-0.000147863,-0.460651871,0.278503845,0.042465205,-7.09E-05,-0.025156151,0.028617324,0.004135183,-3.16E-06,-0.012016324,0.010611332,0.002122046,2.87E-06,-0.036390604,0.031313661,0.003040793,1.97E-06,-0.015300706,0.013844921,0.001672334,8.65E-07,-0.006943442,0.014490161,0.001447909,-2.62E-06,-0.007006618,0.005871428,0.000813747,-3.58E-07,-0.025529953,0.015094095,0.002558164,-3.82E-06,-0.009317903,0.013413962,0.001462404,1.16E-06,-0.013260696,0.028166222,0.002188956,1.71E-06,-0.013750544,0.01060383,0.001248173,-7.80E-07,-0.017664274,0.03467678,0.003756872,-4.18E-06,-0.009469878,0.011490076,0.0012372,1.68E-06,-0.025362792,0.01848358,0.002744425,9.66E-07,-0.006530269,0.011144672,0.000797303,8.37E-07,-0.017315232,0.03369056,0.003453556,-2.58E-06,-0.010282621,0.011785744,0.001356575,7.88E-07
402,L,2,-0.316889712,0.28651401,0.122940302,-0.074641766,0.059643291,0.227725583,0.183432174,0.181842739,1.00E-08,0.195609876,0.027179397,0.009571404,-0.025921582,0.021396155,0.010399078,-0.007355123,-0.060000434,0.010301062,0.02964802,-0.027736354,0.021034492,0.085121474,0.053810298,0.052893871,0.010631245,0.492906303,0.133675483,0.113838111,0.002955913,0.413341149,0.092982167,0.071746442,0.007657135,0.291267866,0.096038801,0.077904911,-0.571705294,0.635763766,0.074135809,-0.000156902,-0.460651871,0.270170548,0.038598941,-7.04E-05,-0.021250194,0.018774995,0.003509752,9.81E-07,-0.01000948,0.010009514,0.001852548,3.43E-06,-0.036390604,0.031313661,0.003828361,-3.08E-06,-0.015352386,0.015108385,0.001984997,9.57E-07,-0.006943442,0.009305108,0.0015939,-2.08E-06,-0.00459439,0.004189887,0.000900419,5.56E-07,-0.010281159,0.013534858,0.002208083,1.81E-06,-0.007448156,0.007305257,0.0012396,5.58E-08,-0.010377141,0.008726517,0.002103547,-3.63E-07,-0.005587943,0.005244665,0.001181362,-1.33E-07,-0.017664274,0.03467678,0.00391396,-1.74E-05,-0.006834804,0.011490076,0.001239726,8.06E-07,-0.013503019,0.018542568,0.002791615,-1.48E-05,-0.005468229,0.008345431,0.000775894,3.45E-07,-0.025346979,0.03369056,0.00396722,-1.11E-05,-0.007946932,0.015004704,0.001496638,7.21E-07
402,M,0,-0.473915008,0.313403728,0.100706746,-0.04656576,0.022054499,0.280840501,0.191377367,0.188488011,7.92E-08,0.236030252,0.027567384,0.009944235,-0.053608078,0.024911489,0.007146017,-0.002054284,-0.061420755,0.017247371,0.028062561,-0.026140293,0.020248669,0.091221565,0.050033598,0.049377013,0.019161669,0.769433543,0.165353274,0.134470316,0.005981742,0.386075284,0.111818989,0.090696895,0.009000061,0.759502751,0.121812228,0.083339341,-1.974534746,2.207101032,0.128642949,0.000395418,-0.951788451,1.398980224,0.073390125,-0.000199462,-0.027188805,0.04203416,0.004440892,2.20E-05,-0.022676878,0.019293297,0.002356154,3.69E-06,-0.050349986,0.0554661,0.004702569,-5.17E-06,-0.026975651,0.028327719,0.002557377,-5.74E-07,-0.022047841,0.027357822,0.001690348,-2.24E-06,-0.013372049,0.018008657,0.001008627,4.73E-07,-0.021038953,0.024000644,0.002322805,8.52E-07,-0.014183425,0.0179942,0.001400509,-6.21E-07,-0.027906803,0.026267406,0.00210506,4.58E-06,-0.025288056,0.017562826,0.001354033,5.35E-07,-0.052088173,0.056445054,0.005337808,-8.71E-05,-0.018346428,0.020267326,0.001737816,3.29E-06,-0.024343812,0.018168061,0.003499986,-2.53E-05,-0.006859031,0.014242294,0.00101499,7.58E-07,-0.059642215,0.058196885,0.005856793,-8.47E-05,-0.018206305,0.026616992,0.002042809,2.04E-06
402,M,1,-0.277687951,0.41971879,0.128995067,-0.03504856,0.042997876,0.232787549,0.185008892,0.183124131,7.92E-08,0.236030252,0.041574401,0.016465551,-0.049718205,0.022826809,0.007814574,-0.004241253,-0.058401039,0.016140824,0.030095151,-0.027917161,0.023745668,0.103028163,0.051672149,0.050774612,0.012409142,0.474654061,0.168466735,0.140037959,0.005739214,0.451049816,0.125036626,0.092433448,0.010034534,0.354930512,0.112902094,0.095375621,-1.067425222,1.148741106,0.09395739,-0.000987395,-0.878680954,0.479054792,0.054241654,-0.000205142,-0.037697643,0.037197513,0.003986306,9.77E-06,-0.019539304,0.018097811,0.00209412,-2.88E-07,-0.050349986,0.0554661,0.005801455,-2.85E-05,-0.026975651,0.028327719,0.002961193,-5.75E-06,-0.015323151,0.018582723,0.001495047,8.66E-07,-0.007208367,0.011764303,0.000866748,-4.32E-08,-0.015753405,0.010597396,0.00226369,2.61E-06,-0.007167355,0.008045487,0.001319416,-1.72E-06,-0.022266082,0.013699329,0.00202801,-3.02E-06,-0.013392571,0.009911266,0.001215375,6.32E-07,-0.021688821,0.033914854,0.00395947,-2.75E-05,-0.008369307,0.013536287,0.001332715,1.54E-07,-0.017172973,0.018787426,0.003073498,7.49E-06,-0.005866473,0.01096372,0.000881078,1.27E-07,-0.022260432,0.031308244,0.003884552,-3.84E-05,-0.009031061,0.012653492,0.001492253,3.84E-07
402,M,2,-0.402681173,0.41971879,0.164861789,-0.095869121,0.02704045,0.246992993,0.179151272,0.175393178,5.79E-07,0.228170038,0.032495593,0.011292665,-0.049718205,0.017180247,0.007786559,-0.004509706,-0.062335251,0.033519219,0.031426522,-0.028645471,0.020200322,0.103028163,0.052932093,0.051824985,0.012409142,0.84932651,0.245776569,0.199979868,0.005739214,0.451049816,0.146649085,0.117688905,0.010034534,0.785606904,0.197231254,0.142731305,-1.067425222,1.148741106,0.094834251,-0.00054886,-0.878680954,0.479662253,0.05353705,-0.000155804,-0.039695499,0.02673983,0.005061441,-1.13E-05,-0.01806227,0.014799188,0.002428842,2.87E-06,-0.041093434,0.054484509,0.004336393,-2.41E-06,-0.026572213,0.019556832,0.002242998,-8.41E-07,-0.015323151,0.018582723,0.001666329,-3.05E-06,-0.007208367,0.011764303,0.000962043,8.28E-07,-0.015753405,0.015073728,0.002637234,-8.66E-06,-0.010468786,0.008138487,0.001535758,-1.01E-06,-0.022266082,0.013699329,0.002344442,3.70E-06,-0.013392571,0.009911266,0.001389092,8.10E-07,-0.035324697,0.053263597,0.006462436,1.26E-05,-0.013372918,0.028019817,0.001853056,-2.02E-06,-0.036141484,0.052415714,0.004749241,-5.30E-06,-0.015880297,0.032513858,0.00160521,-6.12E-07,-0.026168715,0.052833812,0.006234437,1.99E-05,-0.013768366,0.032248402,0.002010803,-1.56E-06
404,H,0,-0.126812414,0.146571067,0.037633457,0.004443006,0.005540293,0.222871712,0.161224627,0.153656425,8.76E-08,0.203660512,0.039116578,0.019091689,-0.021106049,0.013273346,0.004996197,-0.001500427,-0.039682466,0.012697638,0.020561458,-0.017310133,0.025344319,0.062922816,0.041708308,0.04137736,0.010079973,0.335354454,0.133313403,0.112994499,0.00297804,0.3123441,0.087573758,0.068126881,0.006448281,0.302872401,0.100515174,0.078260465,-0.223635625,0.219289713,0.046121753,-5.39E-05,-0.152467856,0.107138005,0.024664806,-2.74E-06,-0.041871336,0.046395743,0.006741601,9.13E-06,-0.018919951,0.020800763,0.003039872,-4.95E-08,-0.043897881,0.057257611,0.005337128,-2.04E-06,-0.027783268,0.021835804,0.002606432,-1.21E-06,-0.005695081,0.00449112,0.001045614,-9.56E-07,-0.00258948,0.002654988,0.000602833,-3.99E-08,-0.010932034,0.015130389,0.002226171,-4.29E-06,-0.008883459,0.007741763,0.001289524,-4.69E-07,-0.006542907,0.007525523,0.001308131,1.06E-06,-0.004764861,0.003567243,0.000791273,6.73E-07,-0.030608291,0.027963091,0.005085513,-1.72E-05,-0.009208452,0.023503167,0.00159507,-4.52E-07,-0.025694025,0.028111129,0.00427754,-3.37E-05,-0.005645955,0.026723489,0.001415141,1.56E-07,-0.031701008,0.02986068,0.004637076,1.59E-05,-0.009422632,0.025704825,0.001687629,-8.05E-07
404,H,1,-0.126812414,0.115675529,0.038126569,-0.003557154,0.010483046,0.215367845,0.161925636,0.156664566,2.62E-08,0.203660512,0.033639889,0.014804369,-0.016468325,0.013273346,0.004288626,-0.00091496,-0.04004908,0.012686003,0.021519835,-0.018570963,0.0283521,0.057338731,0.041944392,0.041621647,0.010079973,0.401879351,0.106219194,0.08292895,0.003656283,0.280814149,0.067155768,0.050650565,0.006448281,0.313713545,0.08229593,0.058586638,-0.295874102,0.252406366,0.044625194,-3.31E-05,-0.138748888,0.146402284,0.024195276,-4.55E-06,-0.047171202,0.044861356,0.006089493,1.85E-05,-0.018032126,0.021016787,0.002686339,1.88E-08,-0.043897881,0.057257611,0.004707195,-1.47E-06,-0.027783268,0.021835804,0.002303432,-9.53E-07,-0.004099661,0.00449112,0.000947191,-1.26E-06,-0.002241378,0.002432915,0.00055124,-4.25E-07,-0.010647782,0.011772001,0.002102884,6.91E-06,-0.005973891,0.006347854,0.001192493,-5.37E-07,-0.006291334,0.005131646,0.001237635,-2.64E-06,-0.003776912,0.003131841,0.000738282,8.07E-07,-0.03399837,0.027963091,0.004427956,7.30E-06,-0.009208452,0.011366312,0.001121146,1.55E-06,-0.02228862,0.020341575,0.003419134,9.12E-06,-0.004986738,0.012518496,0.000957591,7.66E-07,-0.028502506,0.02986068,0.003831759,1.06E-06,-0.009422632,0.015737917,0.001145743,1.43E-06
404,H,2,-0.092277581,0.10302146,0.026859835,-0.01076775,0.015815038,0.21932996,0.166639216,0.162585045,9.04E-09,0.02047435,0.007208792,0.005012411,-0.018135151,0.011247846,0.004248189,-0.001191549,-0.04004908,0.014013973,0.022776283,-0.020149184,0.02312811,0.057493694,0.042918804,0.042560716,0.010461687,0.401879351,0.095708447,0.073189843,0.003656283,0.280814149,0.061592087,0.043226634,0.006691189,0.313713545,0.073256546,0.052979252,-0.295874102,0.252406366,0.04029377,-6.53E-05,-0.138748888,0.146402284,0.022905899,-9.57E-06,-0.047171202,0.04171471,0.005240436,4.20E-06,-0.016367419,0.021016787,0.002407215,7.37E-07,-0.00729734,0.005854304,0.001977935,-2.68E-06,-0.005052062,0.004286963,0.001309654,2.60E-07,-0.00398578,0.004333101,0.000932314,-3.43E-06,-0.002241378,0.002444318,0.000547593,2.85E-07,-0.010647782,0.011772001,0.002053334,-9.84E-07,-0.00620154,0.006347854,0.001189976,5.19E-07,-0.006291334,0.006477048,0.001241284,2.09E-06,-0.003776912,0.004057468,0.000736158,-1.08E-07,-0.03399837,0.02330044,0.003606243,-8.86E-06,-0.005645308,0.009055612,0.000873729,-2.46E-07,-0.02228862,0.020341575,0.002863606,2.50E-06,-0.004070759,0.012518496,0.000764664,-6.15E-07,-0.028502506,0.02093399,0.003023177,-1.11E-05,-0.005922195,0.012467998,0.000906023,1.05E-07
404,L,0,-0.15510546,0.10359036,0.051688083,-0.038943367,0.01199705,0.222981973,0.176296679,0.171594351,7.02E-08,0.159304067,0.0173949,0.006855921,-0.020105656,0.011032431,0.005432594,-0.00277764,-0.037933004,0.023791813,0.019195537,-0.016765216,0.023558205,0.058782223,0.042852419,0.04252075,0.007923775,0.434533928,0.119955563,0.095773442,0.003832853,0.414757107,0.08775499,0.065017571,0.005211199,0.387376806,0.081782632,0.057758182,-0.243147954,0.227389128,0.044777541,0.000322963,-0.128377324,0.134897531,0.024692779,2.54E-05,-0.046607481,0.03783505,0.005091029,1.14E-05,-0.01550559,0.028568323,0.002255276,2.39E-06,-0.044630854,0.031098617,0.003204972,1.77E-06,-0.017081703,0.021958967,0.001644282,-3.33E-07,-0.004791676,0.005165022,0.000978804,9.21E-07,-0.00231555,0.002840504,0.000577435,3.26E-07,-0.013447813,0.010624437,0.001906416,4.77E-06,-0.007235695,0.007076925,0.001124408,-2.54E-06,-0.008672485,0.007240624,0.001223826,-1.95E-06,-0.003985173,0.003758077,0.000730061,3.32E-06,-0.020255763,0.027137585,0.003659438,1.35E-05,-0.006990567,0.009382586,0.000937893,8.41E-07,-0.02591324,0.04596809,0.003389712,-4.26E-06,-0.007728167,0.018983224,0.000874984,-7.43E-07,-0.021474348,0.018863677,0.003294648,2.41E-05,-0.007992333,0.012960415,0.000962288,3.02E-06
404,L,1,-0.108871324,0.091485751,0.049485713,-0.038304101,0.028135893,0.222981973,0.173576413,0.168837267,7.02E-08,0.159304067,0.01734219,0.006590854,-0.018480734,0.011032431,0.005219636,-0.002306779,-0.040170402,0.016987225,0.020288899,-0.017643195,0.026240902,0.057714373,0.043163613,0.042829639,0.010129737,0.343548557,0.100710916,0.086361123,0.003715502,0.171847613,0.06332253,0.05237321,0.004832294,0.327428861,0.078313127,0.058734485,-0.332105001,0.22357342,0.04311412,-5.20E-05,-0.199650186,0.157850479,0.024263068,-2.10E-05,-0.046607481,0.03815337,0.005181637,2.66E-05,-0.01550559,0.028568323,0.002402031,7.78E-06,-0.044630854,0.031098617,0.003204485,5.01E-07,-0.017081703,0.021958967,0.001642317,-1.12E-08,-0.005023303,0.00393658,0.000919579,5.03E-07,-0.00245712,0.002759374,0.000532946,-8.27E-07,-0.010197059,0.009772399,0.001883311,-1.57E-07,-0.005752785,0.005769387,0.001098348,1.75E-07,-0.005831685,0.007240624,0.001211564,-1.51E-07,-0.003430162,0.003581451,0.000728661,1.18E-06,-0.01762843,0.017786499,0.002893355,-2.89E-05,-0.005441764,0.013052664,0.000805117,-4.34E-06,-0.011934337,0.011341649,0.002126951,-1.44E-05,-0.003166288,0.006320001,0.00061919,-1.13E-06,-0.017854754,0.023881084,0.002818764,-2.52E-05,-0.005223892,0.014114701,0.000867195,-4.62E-06
404,L,2,-0.108871324,0.085281398,0.05458494,-0.044084381,0.027478696,0.218869842,0.167466675,0.163223955,4.62E-07,0.148554407,0.021762838,0.008676548,-0.017543647,0.012008672,0.005072366,-0.002427823,-0.040170402,0.016987225,0.020193042,-0.017482548,0.026880692,0.057316401,0.042618495,0.042248348,0.009232403,0.29475145,0.091866121,0.0783769,0.003715502,0.149252501,0.054128415,0.0431045,0.004832294,0.274628369,0.074225999,0.05959818,-0.332105001,0.259315755,0.046115447,-0.00052042,-0.199650186,0.157850479,0.026072115,-4.61E-05,-0.040131354,0.03815337,0.005154368,2.11E-06,-0.014786594,0.016391638,0.002308358,3.25E-07,-0.038109058,0.037272075,0.003246059,-5.52E-07,-0.016289605,0.018787824,0.001742072,-1.47E-07,-0.005357932,0.005229614,0.000985701,-7.94E-07,-0.002628058,0.003792466,0.000575019,2.92E-07,-0.010197059,0.009772399,0.002032677,-7.27E-08,-0.005752785,0.005723876,0.001158361,-4.22E-07,-0.005831685,0.006002998,0.00127477,-5.22E-07,-0.003610407,0.00331304,0.000753171,7.70E-07,-0.01866961,0.017786499,0.002956499,-1.96E-05,-0.005441764,0.013052664,0.000850941,1.99E-07,-0.009537692,0.012271022,0.002215868,-6.23E-06,-0.002781449,0.006320001,0.000616208,9.99E-07,-0.024882969,0.023881084,0.003042147,-1.90E-05,-0.007210157,0.014424411,0.000992624,-5.00E-07
404,M,0,-0.072637773,0.344310147,0.070691793,0.0258759,0.005725546,0.217148247,0.158383384,0.152061186,7.02E-08,0.183113283,0.030192565,0.013028912,-0.017569184,0.013406075,0.005108676,0.000150846,-0.045444346,0.022573074,0.021704331,-0.018071863,0.023367239,0.060656266,0.043010645,0.042637436,0.012088711,0.408498321,0.139181786,0.107641371,0.002678689,0.337211623,0.099881781,0.072410582,0.005385697,0.380660922,0.096928836,0.064981116,-0.295857277,0.349699307,0.049081943,-0.000956148,-0.170933619,0.156833076,0.02770988,-1.66E-05,-0.050235559,0.04023865,0.005814245,-4.21E-05,-0.018110718,0.020342659,0.002663263,2.92E-06,-0.029485402,0.038829743,0.004672132,-6.48E-07,-0.023188587,0.019363756,0.00242197,-6.68E-07,-0.004983221,0.004108621,0.001057795,-5.73E-06,-0.002879385,0.002593931,0.000588424,7.09E-07,-0.013916406,0.016674977,0.002382267,4.26E-06,-0.009363591,0.008042545,0.001324199,1.02E-06,-0.006368304,0.008526955,0.00136876,-6.06E-06,-0.004445628,0.004426911,0.000811869,8.87E-07,-0.029394931,0.036834788,0.005239632,1.30E-05,-0.008942268,0.020341172,0.001314623,-1.67E-06,-0.037073712,0.041033349,0.004112198,6.67E-06,-0.005714327,0.033226444,0.00121459,-2.66E-06,-0.025023647,0.03451341,0.00439304,1.10E-05,-0.008400624,0.012384204,0.001207206,8.35E-07
404,M,1,-0.094801307,0.102915253,0.036756682,-0.00776383,0.005725546,0.217148247,0.15878651,0.15466577,3.35E-07,0.183113283,0.029122057,0.012277784,-0.017569184,0.012837902,0.005134298,0.000462935,-0.041325016,0.022573074,0.024345884,-0.021260506,0.027506484,0.057001792,0.044661688,0.04435943,0.009323019,0.314133075,0.099117352,0.079683649,0.00283681,0.219593008,0.070598115,0.054127917,0.005385697,0.287720998,0.069571227,0.049803073,-0.243941942,0.235718057,0.042697249,-0.000131875,-0.155388884,0.156833076,0.024940497,-1.32E-05,-0.050235559,0.04023865,0.005424147,5.36E-06,-0.018110718,0.020342659,0.002508941,-1.39E-07,-0.029485402,0.03820682,0.004257765,1.16E-07,-0.017788197,0.018352105,0.002151508,-6.27E-07,-0.004912002,0.004761439,0.001011829,1.45E-06,-0.002560178,0.002498727,0.00056581,-3.83E-08,-0.013155099,0.014614853,0.002154345,-3.19E-06,-0.006506424,0.006711166,0.001195573,-1.40E-06,-0.006368304,0.006842059,0.001245437,3.77E-06,-0.00410189,0.004426911,0.000742949,1.16E-06,-0.018999097,0.036834788,0.003662412,5.39E-06,-0.008942268,0.008693417,0.000953435,-1.21E-06,-0.016163807,0.019923469,0.002733432,3.88E-06,-0.004250897,0.009502238,0.000754898,-9.16E-07,-0.018632422,0.03451341,0.003199568,3.93E-06,-0.008400624,0.01130759,0.00097611,-8.87E-07
404,M,2,-0.094801307,0.077618281,0.036547943,-0.022063174,0.015715937,0.220226701,0.160069454,0.156447607,2.73E-08,0.208907452,0.024036099,0.009833877,-0.018630004,0.011147348,0.005016538,1.72E-05,-0.042522771,0.01877068,0.025488712,-0.022897961,0.02949485,0.057785844,0.044836719,0.044543953,0.009323019,0.314133075,0.107824884,0.09109317,0.00283681,0.251595437,0.076430032,0.056451655,0.005686699,0.284131326,0.076056924,0.061820574,-0.243941942,0.20338351,0.039083283,-4.98E-05,-0.149059112,0.098251166,0.022234546,-2.42E-05,-0.038749064,0.039904315,0.00505143,4.62E-07,-0.015512475,0.025662298,0.002392142,1.03E-05,-0.028571523,0.030313616,0.003277647,3.04E-06,-0.014172257,0.01334033,0.001757698,7.09E-07,-0.003874553,0.004761439,0.000909423,-5.75E-07,-0.002146168,0.002477282,0.000527397,4.07E-08,-0.012824197,0.014614853,0.002156186,1.06E-06,-0.008496607,0.006711166,0.001244604,-1.52E-06,-0.006253719,0.005888685,0.001212398,2.44E-07,-0.003349431,0.003164829,0.000727044,1.19E-07,-0.015058591,0.023481651,0.00284659,-4.03E-05,-0.003921727,0.008422106,0.000768438,5.39E-07,-0.012397252,0.013364456,0.002216355,-5.16E-05,-0.003035856,0.007782697,0.000583147,4.00E-07,-0.01803344,0.026026019,0.002547627,-1.16E-05,-0.004033745,0.008341592,0.000849149,2.27E-07
